Philosophe	Naissance	Mort	Catégorie	Image	Page Wikipedia	Extrait Wikipédia
Henri Poincaré	1854	1912	Épistémologues français	https://upload.wikimedia.org/wikipedia/commons/4/45/Henri_Poincar%C3%A9-2.jpg	https://fr.wikipedia.org/wiki/Henri_Poincar%C3%A9	"<p><b>Henri Poincaré</b> est un mathématicien, physicien théoricien et philosophe des sciences français, né le <time datetime=""1854-04-29"" data-sort-value=""1854-04-29"">29 avril 1854</time> à Nancy et mort le <time datetime=""1912-07-17"" data-sort-value=""1912-07-17"">17 juillet 1912</time> à Paris. </p><p>Poincaré a réalisé des travaux d'importance majeure en optique et en calcul infinitésimal. Ses avancées sur le problème des trois corps en font un fondateur de l'étude qualitative des systèmes d'équations différentielles et de la théorie du chaos ; il est aussi un précurseur majeur de la théorie de la relativité restreinte et de la théorie des systèmes dynamiques. </p><p>Il est considéré comme un des derniers grands savants universels, maîtrisant l'ensemble des branches des mathématiques de son époque et certaines branches de la physique. </p>"
Freud	1856	1939	Philosophie XIXe-XXe		https://fr.wikipedia.org/wiki/Freud	 
Simmel	1858	1918	Sociologie		https://fr.wikipedia.org/wiki/Simmel	<ul><li>Ernst Simmel (1882-1947), neurologue et psychanalyste allemand</li> <li>Georg Simmel (1858–1918), philosophe et sociologue allemand</li> <li>Johannes Mario Simmel (1924–2009), écrivain autrichien</li></ul>
Durkheim	1858	1917	Sociologie		https://fr.wikipedia.org/wiki/Durkheim	<p><b>Durkheim</b> ou <b>Durkheim</b> est un nom propre germanique qui peut faire référence à : </p>
Bergson	1859	1941	Philosophie française XXe		https://fr.wikipedia.org/wiki/Bergson	 
Dewey	1859	1952	Pragmatisme		https://fr.wikipedia.org/wiki/Dewey	<p><b>Dewey</b> peut désigner : </p>
Husserl	1859	1938	Philosophie XIXe-XXe		https://fr.wikipedia.org/wiki/Husserl	 
Alfred North Whitehead	1861	1947	Philosophie XIXe-XXe	https://upload.wikimedia.org/wikipedia/commons/5/59/Alfred_North_Whitehead_-_cropped.jpg	https://fr.wikipedia.org/wiki/Alfred_North_Whitehead	"<p><b>Alfred North Whitehead</b>, né le <time datetime=""1861-02-15"" data-sort-value=""1861-02-15"">15 février 1861</time> à Ramsgate (dans le Kent, en Angleterre) et mort le <time datetime=""1947-12-30"" data-sort-value=""1947-12-30"">30 décembre 1947</time> à Cambridge (Massachusetts), est un philosophe, logicien et mathématicien britannique. Il est le fondateur de l'école philosophique connue sous le nom de la philosophie du processus, un courant influent dans toute une série de disciplines : l'écologie, la théologie, l'éducation, la physique, la biologie, l'économie et la psychologie. </p><p>Au début de sa carrière, Whitehead écrit principalement sur les mathématiques, la logique et la physique. Son premier grand ouvrage <i>A Treatise of Universal Algebra</i> (1898) porte sur l'algèbre qu'il se propose d'unifier tout comme David Hilbert l'a fait avec les géométries non euclidiennes. Son œuvre la plus remarquable dans ces domaines demeure les <i>Principia Mathematica</i> (1910-1913), en trois volumes, œuvre majeure écrite en collaboration avec son ancien étudiant Bertrand Russell. Les <i>Principia Mathematica</i> sont considérés comme l'une des œuvres les plus importantes du <abbr title=""20ᵉ siècle""><span>XX</span><sup style=""font-size:72%"">e</sup></abbr> siècle en logique mathématique. </p><p>De la fin des années 1910 au début des années 1920, Whitehead se tourne vers la philosophie des sciences et la métaphysique, s'éloignant progressivement du logicisme pour s'orienter vers la philosophie de la nature dans ses œuvres <i>An Inquiry concerning the Principles of Natural Knowledge</i> (1919) et <i>The Concept of Nature</i> (1920). Dans <i>The Principles of Relativity</i> (1922), il discute et critique la théorie einsteinienne de la relativité. Sa pensée, partie des mathématiques, s'oriente vers une métaphysique dans laquelle l'idée de <span lang=""en"">« <span>process</span> »</span>, parfois traduite en français par « procès », tient une place prépondérante. Il a développé un système de métaphysique complet, radicalement nouveau dans la philosophie occidentale. Aujourd'hui, les travaux philosophiques de Whitehead — notamment <i>Procès et réalité</i> (<i><span lang=""en"">Process and Reality</span></i>, 1929) — sont considérés comme les textes fondateurs de la philosophie du <i><span lang=""en"">process</span></i>. </p><p>Sa métaphysique est centrée sur les notions de préhensions (un mot qu'il crée pour indiquer qu'une perception consciente ou inconsciente incorpore certains aspects de la chose perçue) et de relations. Elle ne cherche pas tant les conditions de possibilité d'une connaissance, que la manière de rendre compte de l'expérience, ce qui constitue une différence importante avec celle de Kant. Par rapport à Aristote et à Leibniz, chez Whitehead l'harmonie de l'ordre du monde n'est pas donnée une fois pour toutes, mais doit évoluer pour répondre aux changements du monde. Dans cette optique, la notion de créativité occupe une place clé. Concernant sa théologie, elle est centrée sur une double nature de Dieu : sa nature primordiale et sa nature conséquente. La première est immuable alors que la seconde, en lien avec le monde, est changeante. L'ordre du monde est fondé sur les relations entre ces deux natures et le monde qui, d'une certaine façon, coopère avec Dieu. </p><p>La philosophie du <i><span lang=""en"">process</span></i> de Whitehead insiste sur le fait qu'<span>« il est urgent de voir le monde comme un réseau de processus interdépendants dont nous sommes partie intégrante, et que tous nos choix et nos actions ont des conséquences sur le monde qui nous entoure »</span>. Pour cette raison, dès les années 2000, sa pensée est parfois appliquée dans les questions concernant l'écologie, notamment l'éthique de l'environnement de John B. Cobb, Jr. </p>"
Pierre Duhem	1861	1916	Épistémologues français	https://upload.wikimedia.org/wikipedia/commons/5/5f/Pierre_Duhem.jpg	https://fr.wikipedia.org/wiki/Pierre_Duhem	"<p><b>Pierre Maurice Marie Duhem</b>, né le <time datetime=""1861-06-10"" data-sort-value=""1861-06-10"">10 juin 1861</time> à Paris 2<sup>e</sup> et mort le <time datetime=""1916-09-14"" data-sort-value=""1916-09-14"">14 septembre 1916</time> à Cabrespine, est un physicien, chimiste, historien et épistémologue français. </p>"
Max Weber	1864	1920	Sociologie	https://upload.wikimedia.org/wikipedia/commons/1/16/Max_Weber_1894.jpg	https://fr.wikipedia.org/wiki/Max_Weber	"<p><b>Max Weber</b> <span title=""Alphabet phonétique international"">[<span title=""[m] « m » dans « mou »."">m</span><span title=""[a] « a » dans « patte »."">a</span><span title=""[k] « c » dans « cabas »."">k</span><span title=""[s] en français « s » dans « sa » ; ailleurs avec la langue un peu plus en arrière (tel le basque : « s » dans « euskara »)."">s</span> <span title=""[v] « v » dans « vous »."">v</span><span title=""[e] « é » dans « clé »."">e</span><span title=""[b] « b » dans « beau »."">b</span><span title=""[ɛ] « è » dans « mère »."">ɛ</span><span title=""[ʁ] « r » dans « roue »."">ʁ</span>]</span> (<small>en allemand</small> <span title=""Alphabet phonétique international"">[<span title=""[m] « m » dans « mou »."">m</span><span title=""[a] « a » dans « patte »."">a</span><span title=""[k] « c » dans « cabas »."">k</span><span title=""[s] en français « s » dans « sa » ; ailleurs avec la langue un peu plus en arrière (tel le basque : « s » dans « euskara »)."">s</span> <span title=""[ˈ] indique que la syllabe ou voyelle suivante porte l'accent tonique."">ˈ</span><span title=""[v] « v » dans « vous »."">v</span><span title=""[e] « é » dans « clé »."">e</span><span title=""[ː] indique que le son précédent est allongé/géminé."">ː</span><span title=""[b] « b » dans « beau »."">b</span>ɐ]</span>), né le <time datetime=""1864-04-21"" data-sort-value=""1864-04-21"">21 avril 1864</time> et mort le <time datetime=""1920-06-14"" data-sort-value=""1920-06-14"">14 juin 1920</time>, est un économiste et sociologue allemand originellement formé en droit. </p><p>Considéré comme l'un des fondateurs de la sociologie, il porte ses interrogations sur les changements opérés sur la société avec l'entrée dans la modernité. On lui doit notamment des analyses complexes du capitalisme industriel, de la bureaucratie et du processus de rationalisation en Occident. </p><p>Contrairement à Émile Durkheim, considéré lui aussi comme un père de la sociologie, Weber a peu enseigné et n'a pas fait école de son vivant. Et à la différence de Karl Marx, il aborde le capitalisme non pas « de l'extérieur » (en analysant ses composantes économiques) mais « de l'intérieur », en passant au crible les motivations de ses promoteurs et en recourant pour cela à une méthode qu'il qualifie de « compréhensive ». Selon lui, avant de devenir un système économique, le capitalisme est une <i>éthique</i>. C'est pourquoi, estime-t-il, pour analyser ce système, il importe d'étudier d'abord cette éthique, qu'il appelle « l'esprit du capitalisme ». Ce concept est central dans son ouvrage <i>L'Éthique protestante et l'Esprit du capitalisme</i>, une œuvre fondatrice de la sociologie moderne. </p><p>En marge de son travail de recherche, Weber s'est engagé dans l'action politique, contribuant notamment à la rédaction de la Constitution de Weimar pour la république de même nom en 1919. </p><p>Après sa mort, son épouse, née Marianne Schnitger, également sociologue et connue pour ses positions féministes, a fait publier ses derniers manuscrits. Son œuvre n'a été traduite en France qu'à partir de 1959. Elle connaît aujourd'hui une réputation internationale. </p> "
J. M. E. McTaggart	1866	1925	Philosophie analytique	https://upload.wikimedia.org/wikipedia/commons/a/a1/John_McTaggart_Ellis_McTaggart.jpg	https://fr.wikipedia.org/wiki/J._M._E._McTaggart	"<p><b>John McTaggart Ellis McTaggart</b> (<time datetime=""1866-09-03"" data-sort-value=""1866-09-03"">3 septembre 1866</time> – <time datetime=""1925-01-18"" data-sort-value=""1925-01-18"">18 janvier 1925</time>), né et mort à Londres, est un philosophe anglais, assistant (« lecturer ») de philosophie au Trinity College de Cambridge de 1897 à sa mort. Métaphysicien idéaliste, intéressé notamment par le système de Hegel, il est, avec Francis Herbert Bradley, l’un des représentants les plus notables de l’idéalisme britannique. </p>"
Alain	1868	1951	Philosophie française XXe		https://fr.wikipedia.org/wiki/Alain	
Louis Couturat	1868	1914	Épistémologues français	https://upload.wikimedia.org/wikipedia/commons/b/b9/Louis-Couturat2.jpg	https://fr.wikipedia.org/wiki/Louis_Couturat	"<p><b>Louis Couturat</b>, né le <time datetime=""1868-01-17"" data-sort-value=""1868-01-17"">17 janvier 1868</time> à Paris et mort le <time datetime=""1914-08-03"" data-sort-value=""1914-08-03"">3 août 1914</time> à Melun, est un philosophe, logicien et mathématicien français. Appartenant, tout comme Bertrand Russell, au courant logiciste, il publia des fragments inédits de Gottfried Wilhelm Leibniz ainsi que des études désormais classiques sur ce dernier. </p>"
W. E. B. Du Bois	1868	1963	Philosophie sociale et politique XXe	https://upload.wikimedia.org/wikipedia/commons/d/d3/W.E.B._Du_Bois_by_James_E._Purdy%2C_1907.jpg	https://fr.wikipedia.org/wiki/W._E._B._Du_Bois	"<p><b>William Edward Burghardt Du Bois</b> dit « <b>W. E. B. Du Bois</b> », né le <time datetime=""1868-02-23"" data-sort-value=""1868-02-23"">23 février 1868</time> à Great Barrington (Massachusetts) et mort le <time datetime=""1963-08-27"" data-sort-value=""1963-08-27"">27 août 1963</time> à Accra (Ghana), est un sociologue, historien, militant pour les droits civiques, militant panafricain, éditorialiste et écrivain américain. </p><p>Après avoir été diplômé de l'université Harvard, où il fut le premier afro-américain à y obtenir un doctorat, il devint professeur d'histoire, de sociologie et d'économie à la Clark Atlanta University <span title=""Article en anglais : « Clark Atlanta University »"">(en)</span>. Du Bois fut l'un des fondateurs de la National Association for the Advancement of Colored People (NAACP) en 1909. </p><p>Du Bois se fit connaître au niveau national en devenant le chef du Niagara Movement, un groupe de militants afro-américains demandant l'égalité des droits pour les Noirs. Du Bois et ses partisans s'opposèrent au compromis d'Atlanta rédigé par Booker T. Washington prévoyant que les Noirs du Sud des États-Unis se soumettent à la domination politique blanche en échange d'une éducation de base et d'opportunités économiques de la part des Blancs. Du Bois demandait au contraire une égalité complète et l'accroissement de la représentation politique qui selon lui ne pouvait venir que de l'élite intellectuelle afro-américaine à laquelle il faisait référence avec l'expression « <i>The Talented Tenth</i> » (« le dixième talentueux »). </p><p>Le racisme était la principale cible de Du Bois et il protesta fermement contre le lynchage, les lois Jim Crow et la discrimination dans l'éducation et au travail. Ses causes rallièrent également des Africains et des Asiatiques en lutte contre le colonialisme et l'impérialisme. Il fut un fervent défenseur du panafricanisme et aida à l'organisation de plusieurs congrès panafricains pour soutenir les demandes d'indépendance des colonies africaines. Du Bois réalisa plusieurs voyages en Europe, en Afrique et en Asie. Après la Première Guerre mondiale, il étudia les expériences des soldats noirs américains en France et documenta l'intolérance raciale dans l'armée américaine. </p><p>Du Bois fut un écrivain prolifique. Sa collection d'essais, <i>The Souls of Black Folk</i>, est un ouvrage majeur de la littérature noire américaine et son œuvre maîtresse, <i>Black Reconstruction in America</i>, s'opposait à la vision dominante qui rendait les Noirs responsables de l'échec de la Reconstruction après la guerre de Sécession. Il rédigea le premier traité scientifique de sociologie et publia trois autobiographies comportant chacune des essais en sociologie, en politique et en histoire. En tant que rédacteur en chef du journal de la NAACP, <i>The Crisis</i>, il écrivit de nombreux articles influents. Du Bois considérait que le capitalisme était la cause principale du racisme et il fut un partisan des idées socialistes tout au long de sa vie. Il était un pacifiste convaincu et défendit le désarmement nucléaire. Le Civil Rights Act de 1964, reprenant de nombreuses réformes pour lesquelles Du Bois avait fait campagne toute sa vie, fut promulgué un an après sa mort. </p>"
Marcel Mauss	1872	1950	Sociologie	https://upload.wikimedia.org/wikipedia/commons/c/cc/Marcel_Mauss_3.jpg	https://fr.wikipedia.org/wiki/Marcel_Mauss	"<p><b>Marcel Mauss</b>, né le <time datetime=""1872-05-10"" data-sort-value=""1872-05-10"">10 mai 1872</time> à Épinal et mort le <time datetime=""1950-02-11"" data-sort-value=""1950-02-11"">11 février 1950</time> à Paris, est généralement considéré comme le « père de l'anthropologie française ». </p>"
Russell	1872	1970	Philosophie analytique		https://fr.wikipedia.org/wiki/Russell	<p><b>Russell</b> était autrefois exclusivement un nom de famille, anglicisation du patronyme français <span>Roussel</span>. Aujourd'hui, c’est également un prénom masculin, principalement aux États-Unis. </p>
George Edward Moore	1873	1958	Philosophie analytique	https://upload.wikimedia.org/wikipedia/commons/b/b9/1914_George_Edward_Moore_%28cropped%29.jpg	https://fr.wikipedia.org/wiki/George_Edward_Moore	"<p><b>George Edward Moore</b>, usuellement cité comme <b>G. E. Moore</b>, né le <time datetime=""1873-11-04"" data-sort-value=""1873-11-04"">4 novembre 1873</time> à Londres et mort le <time datetime=""1958-10-24"" data-sort-value=""1958-10-24"">24 octobre 1958</time> à Cambridge, est un philosophe anglais qui étudia et enseigna à l'université de Cambridge, notamment à Trinity College, où il fit partie de la société secrète des Cambridge Apostles, tout comme Alfred North Whitehead. Il est, aux côtés de Bertrand Russell, Ludwig Wittgenstein, et avant eux, Gottlob Frege, un des fondateurs de la philosophie analytique, qui prédomine actuellement dans le monde universitaire anglophone. </p><p>Moore est cependant surtout connu en raison de son parti pris contre le sophisme naturaliste, de son enthousiasme pour le sens commun dans la méthode philosophique et pour le paradoxe de Moore. S'il était admiré par les autres philosophes de son temps, il n'est plus aujourd'hui célèbre en dehors des cercles académiques philosophiques, à l'inverse de son collègue et ami Russell. Ayant mené une longue critique contre la stagnation des connaissances philosophiques, à l'inverse du dynamique progrès des sciences naturelles depuis la Renaissance, il a été amené à fonder une nouvelle école analytique sur les traces de Thalès de Milet. Parmi ses plus influents ouvrages, <i>Principia Ethica</i> et ses essais <i>The Refutation of Idealism</i>, <i>A Defence of Common Sense</i>, <i>A Proof of the External World</i>. Très appréciés de ses pairs, les écrits de Moore sont réputés pour leur style clair et circonspect, une illustration de l'approche patiente et méthodique des problèmes philosophiques par Moore. </p><p>Président de l'<i>Aristotelian Society</i> en 1918 et 1919. Il est enterré dans le cimetière de la paroisse de l'Ascension à Cambridge, en Angleterre. Il est le frère du poète Thomas Sturge Moore, le père du poète Nicholas Moore et du compositeur Timothy Moore. Paul Levy fut son biographe avec <i>Moore: G.E. Moore and the Cambridge Apostles</i> (1979). </p>"
Ernst Cassirer	1874	1945	Herméneutique	https://upload.wikimedia.org/wikipedia/commons/e/eb/ErnstCassirer.jpg	https://fr.wikipedia.org/wiki/Ernst_Cassirer	"<p><b>Ernst Cassirer</b>, né le <time datetime=""1874-07-28"" data-sort-value=""1874-07-28"">28 juillet 1874</time> à Breslau et mort le <time datetime=""1945-04-13"" data-sort-value=""1945-04-13"">13 avril 1945</time> à New York, est un philosophe allemand, naturalisé suédois, représentant d'une variété de néo-kantisme, courant fondé par Paul Natorp et Hermann Cohen, développé dans ce qu'on appelle aujourd'hui l'école de Marbourg. </p>"
Max Scheler	1874	1928	Philosophie XXe	https://upload.wikimedia.org/wikipedia/commons/a/af/Scheler_max.jpg	https://fr.wikipedia.org/wiki/Max_Scheler	"<p><b>Max Scheler</b>, né à Munich le <time datetime=""1874-08-22"" data-sort-value=""1874-08-22"">22 août 1874</time> et mort à Francfort-sur-le-Main le <time datetime=""1928-05-19"" data-sort-value=""1928-05-19"">19 mai 1928</time>, est un philosophe et sociologue allemand. </p>"
W.D. Ross	1877	1971	Philosophie morale	https://upload.wikimedia.org/wikipedia/commons/3/36/W.D._Wetherell.jpg	https://fr.wikipedia.org/wiki/W.D._Wetherell	<p><b>Walter D. Wetherell</b> (né en 1948) est un écrivain américain ayant publié plus d'une dizaine d'ouvrages, dont des fictions. Il a grandi à New York et vit à présent à Lyme, New Hampshire. </p><p>Ses œuvres les plus récentes sont <i>Autumn: A Season of Discovery in a Wondrous Land</i> (Presses universitaires du Nebraska, 2009) et <i>Hills Like White Hills: Stories</i> (Presses de l'université méthodiste du Sud, 2009). </p><p>Son roman le plus connu en France est <i>Un siècle de novembre</i>, publié en 2004 par les Presses universitaires du Michigan sous le titre original <i>A Century of November</i>. Ce court roman lui a valu la plus prestigieuse récompense littéraire du Michigan. La traduction française a été publiée par les éditions Les Allusifs en 2006, et est sortie en poche en 2008 (Le Livre de poche). Wetherell y décrit la quête d'un père à travers l'Amérique et l'Europe, qui cherche les traces laissées par son fils dans sa marche à la mort, sur le front, en 1918, quelques semaines avant l'armistice. </p><p>Wetherell est également l'auteur de plusieurs nouvelles parues dans la presse américaine. Il a aussi écrit des essais et des récits de voyages notamment pour le <i>New York Times</i>, et d'autres parutions. Les rivières et la pêche à la mouche sont une source d'inspiration pour ces essais et récits. </p> 
Hans Kelsen	1881	1973	Philosophie du droit	https://upload.wikimedia.org/wikipedia/commons/c/c0/Hans_Kelsen_%281881%E2%80%931973%29_~1930_%C2%A9_Georg_Fayer_%281892%E2%80%931950%29_OeNB_8026867.jpg	https://fr.wikipedia.org/wiki/Hans_Kelsen	"<p><b>Hans Kelsen</b>, né le <time datetime=""1881-10-11"" data-sort-value=""1881-10-11"">11 octobre 1881</time> à Prague sous l'Empire austro-hongrois et mort le <time datetime=""1973-04-19"" data-sort-value=""1973-04-19"">19 avril 1973</time> à Orinda en Californie, est un juriste austro-américain, fils d'une famille juive de Bohême et de Galicie. Théoricien du droit, il est l'auteur de la « Théorie pure du droit », œuvre phare de la discipline. Il est le fondateur du normativisme et du principe de la hiérarchie des normes. </p><p>Hans Kelsen appartient au mouvement du positivisme juridique, qui s'oppose au jusnaturalisme en prétendant décrire objectivement tout système juridique, sans faire appel à des valeurs morales extrinsèques au droit. </p><p>Il enseigna au Juridicum de Vienne entre 1911 et 1929. Contraint de fuir l'Autriche après l'Anschluss en raison de son ascendance juive, il s'exila aux États-Unis où il enseigna à la faculté de droit Boalt Hall de l'université de Californie à Berkeley. </p>"
